Humidity(%),Temperature(°C),WaterFlow(%)
2.86E+01,4.94E+01,0.00E+00
1.71E+01,8.09E+01,7.71E+01
3.61E+01,1.00E+02,8.87E+01
3.59E+01,9.60E+01,8.41E+01
4.16E+01,2.39E+01,0.00E+00
1.42E+01,6.71E+01,6.18E+01
5.01E+01,3.95E+01,0.00E+00
1.89E+01,2.66E+01,0.00E+00
5.18E+01,9.14E+01,6.91E+01
4.80E+01,9.66E+01,7.76E+01
4.86E+01,7.43E+01,5.02E+01
3.13E+01,5.17E+01,0.00E+00
3.68E+01,6.14E+01,0.00E+00
2.22E+01,6.41E+01,5.33E+01
5.02E+01,4.82E+01,0.00E+00
2.71E+01,8.40E+01,7.49E+01
3.67E+01,9.36E+01,8.07E+01
4.69E+01,6.36E+01,0.00E+00
4.32E+01,4.12E+01,0.00E+00
1.17E+01,6.04E+01,5.50E+01
3.06E+01,2.41E+01,0.00E+00
3.43E+01,3.39E+01,0.00E+00
1.84E+01,2.92E+01,0.00E+00
5.15E+01,6.44E+01,0.00E+00
2.54E+01,9.70E+01,9.17E+01
4.72E+01,8.77E+01,6.74E+01
3.60E+01,8.33E+01,0.00E+00
5.07E+01,2.86E+01,0.00E+00
4.24E+01,8.73E+01,6.98E+01
3.61E+01,5.85E+01,0.00E+00
4.11E+01,7.21E+01,0.00E+00
1.06E+01,4.15E+01,0.00E+00
4.20E+01,2.04E+01,0.00E+00
5.10E+01,4.05E+01,0.00E+00
2.03E+01,3.30E+01,0.00E+00
3.09E+01,9.77E+01,8.91E+01
2.08E+01,3.53E+01,0.00E+00
3.27E+01,9.55E+01,8.54E+01
2.16E+01,2.25E+01,0.00E+00
3.30E+01,8.59E+01,0.00E+00
1.86E+01,6.94E+01,6.21E+01
3.09E+01,8.57E+01,0.00E+00
3.68E+01,4.55E+01,0.00E+00
4.23E+01,3.26E+01,0.00E+00
2.87E+01,3.88E+01,0.00E+00
3.67E+01,8.25E+01,0.00E+00
3.12E+01,9.18E+01,8.18E+01
3.73E+01,5.80E+01,3.65E+01
3.77E+01,9.11E+01,7.71E+01
3.37E+01,4.57E+01,0.00E+00
4.96E+01,7.21E+01,0.00E+00
2.75E+01,9.60E+01,8.91E+01
2.71E+01,2.00E+01,0.00E+00
2.49E+01,2.94E+01,0.00E+00
1.09E+01,9.12E+01,9.33E+01
2.94E+01,2.58E+01,0.00E+00
4.75E+01,9.37E+01,7.44E+01
1.73E+01,2.14E+01,0.00E+00
3.24E+01,9.13E+01,0.00E+00
5.02E+01,8.84E+01,6.64E+01
8.13E+00,4.63E+01,0.00E+00
1.14E+01,9.02E+01,9.19E+01
4.14E+01,7.49E+01,0.00E+00
2.87E+01,6.25E+01,0.00E+00
4.86E+01,5.85E+01,0.00E+00
1.45E+01,3.09E+01,0.00E+00
3.54E+01,5.16E+01,0.00E+00
2.39E+01,1.00E+02,9.61E+01
3.60E+01,6.80E+01,0.00E+00
